name,country,city,type,submission_route,email,website,source_url,fit,notes,status,last_contacted
Mukesh Chhabra Casting Company,India,Mumbai,Casting company,Email,casting@mccc.in,https://mccc.in,https://mccc.in/about,"Film, OTT, commercials","Official site says to send portfolio to casting@mccc.in; office intro hours listed as 11:00-14:00.",Not contacted,
AG Models,India,Mumbai,Model agency,Application form,,https://agmodelmanagement.com,https://agmodelmanagement.com/contact,"Modelling, fashion, ads","Official site says aspiring talent should apply through the form and that applications by email are not accepted.",Not contacted,
IT Entertainment,India,Mumbai,Casting and talent agency,Email,casting.itentertainment@gmail.com,https://www.itentertainment.in,https://www.itentertainment.in/,"Actors, models, child artists, ads","Official site says models/actors may email their profile to this address. Verify no fees before proceeding.",Not contacted,
Mojo Model Agency,India,Mumbai,Model and actor agency,Email,hola@mojomodelagency.in,https://mojomodelagency.in,https://mojomodelagency.in/,"Models, actors, ads, print, music videos","Official site says model/actor profiles can be shared to this email.",Not contacted,
IFT Management,India,Kanpur / Dubai / Malaysia,Modeling and casting agency,Email,iftmanagement.in@gmail.com,https://www.iftmanagement.in,https://www.iftmanagement.in/,"Models, actors, influencers","Official site lists this as the direct advisory/submission email. Verify scope and fees before joining anything.",Not contacted,
TOABH Creative Agency,India,Mumbai,Model and artist agency,Application form,,https://toabh.com,https://toabh.com/contact-us/,"Models, artists, brand work","Official contact page says talent submissions should use Join Roster or portfolio submission route; client enquiry email rejects talent submissions.",Not contacted,
G Actors Agency,Sweden,By appointment,Actors agency,Email,representation@gactorsagency.com,https://www.gactorsagency.com,https://www.gactorsagency.com/contact/,"Actor representation","Official page says representation submissions should include CV, 3 headshots, showreel link, and contact details.",Not contacted,
Global Talent Agency,USA,Burbank,Talent agency,Email,submissions@globaltalentagency.com,https://www.globaltalentagency.com,https://www.globaltalentagency.com/home,"Global artist representation","Official page says email submissions and notes they cannot respond to all emails.",Not contacted,
AHA Talent,UK,London,Talent agency,Email,submissions@ahatalent.co.uk,https://www.ahatalent.co.uk,https://www.ahatalent.co.uk/contact/,"Actors over 16, UK/Ireland based","Official page says actors can submit material to this email; they do not take new clients resident outside UK/Ireland.",Not contacted,
Act Creative Talent Agency,UK,London / Manchester,Talent agency,Email,talent@actcreative.agency,https://actcreative.agency,https://actcreative.agency/join-us/,"Screen, commercials, digital media","Official page says applications must be by email and not to send video files, only links.",Not contacted,
CDA Ltd Actors Agency,UK,London,Actors agency,Email,representation@cdalondon.com,https://cdalondon.com,https://cdalondon.com/contact/,"Actor representation","Official page accepts representation submissions by email or post; do not turn up in person.",Not contacted,
Amber Personal Management,UK,Manchester / London,Actors agency,Email,apply@amberltd.co.uk,https://amberltd.co.uk,https://amberltd.co.uk/about/,"Film, TV, theatre, voiceover","Official page lists a dedicated applications email and looks for trained/experienced actors.",Not contacted,
Trentin Agency,Italy,Vicenza,International actors agency,Email,info@trentinagency.com,https://trentinagency.com,https://trentinagency.com/en/submissions-eng-actors/,"Europe-based trained actors","Official page considers trained professional actors based in Europe and selected US actors with European market connection.",Not contacted,
Commercial Talent Agency,USA,Los Angeles,Commercial and print agency,Email,submissions@commercialtalentagency.com,https://commercialtalentagency.com,https://commercialtalentagency.com/submissions,"Commercial, print, hosting, VO","Official submissions page accepts adult commercial/print via this email; do not use Google Drive.",Not contacted,
YOU Management,UK / USA / Germany,London / New York / Hamburg,Talent agency,Email,Submissions@you-talentagency.com,https://www.you-management.com,https://www.you-management.com/representation/,"US representation","Official page says US applicants can email resume, headshot, and reels to this address; UK uses forms, Germany uses casting@you-management.com.",Not contacted,
Collective Agents,UK,London,Talent agency,Email,info@collectiveagents.co.uk,https://www.collectiveagents.co.uk,https://www.collectiveagents.co.uk/contact,"General auditions and castings","Official contact page lists this for general, auditions, and castings; representation has separate page instructions.",Not contacted,
